input1,input2,output
-0.9,-0.9,0.06373555495834456
-0.9,-0.5,0.013168503090567054
-0.9,0,0.0776672937382424
-0.9,0.5,0.013168503090567054
-0.9,0.9,0.06373555495834456
-0.5,-0.9,0.14715399086267136
-0.5,-0.5,0.0002687449610319807
-0.5,0,0.021768341843590434
-0.5,0.5,0.0002687449610319807
-0.5,0.9,0.14715399086267136
0,-0.9,0.29980112872883635
0,-0.5,0.032518140284869664
0,0,0.0002687449610319807
0,0.5,0.032518140284869664
0,0.9,0.29980112872883635
0.5,-0.9,0.5061972588013974
0.5,-0.5,0.11851652781510347
0.5,0,0.032518140284869664
0.5,0.5,0.11851652781510347
0.5,0.9,0.5061972588013974
0.9,-0.9,0.7100134372480514
0.9,-0.5,0.22601451222789573
0.9,0,0.09701693093254501
0.9,0.5,0.22601451222789573
0.9,0.9,0.7100134372480514
