input1,input2,input3,input4,output
-0.9,-0.9,-0.9,-0.9,0.01519996845935306
-0.9,-0.9,-0.9,0,0.03592524676288074
-0.9,-0.9,-0.9,0.9,0.01519996845935306
-0.9,-0.9,0,-0.9,0.02176509166870203
-0.9,-0.9,0,0,0.0424903699722297
-0.9,-0.9,0,0.9,0.02176509166870203
-0.9,-0.9,0.9,-0.9,0.028330214878051003
-0.9,-0.9,0.9,0,0.049055493181578674
-0.9,-0.9,0.9,0.9,0.028330214878051003
-0.9,0,-0.9,-0.9,0.01852247800958438
-0.9,0,-0.9,0,0.04377802460141899
-0.9,0,-0.9,0.9,0.01852247800958438
-0.9,0,0,-0.9,0.02652264923366033
-0.9,0,0,0,0.05177819582549493
-0.9,0,0,0.9,0.02652264923366033
-0.9,0,0.9,-0.9,0.034522820457736275
-0.9,0,0.9,0,0.05977836704957088
-0.9,0,0.9,0.9,0.034522820457736275
-0.9,0.9,-0.9,-0.9,0.01519996845935306
-0.9,0.9,-0.9,0,0.03592524676288074
-0.9,0.9,-0.9,0.9,0.01519996845935306
-0.9,0.9,0,-0.9,0.02176509166870203
-0.9,0.9,0,0,0.0424903699722297
-0.9,0.9,0,0.9,0.02176509166870203
-0.9,0.9,0.9,-0.9,0.028330214878051003
-0.9,0.9,0.9,0,0.049055493181578674
-0.9,0.9,0.9,0.9,0.028330214878051003
0,-0.9,-0.9,-0.9,0.07149804694938393
0,-0.9,-0.9,0,0.168986204582557
0,-0.9,-0.9,0.9,0.07149804694938393
0,-0.9,0,-0.9,0.1023792615193845
0,-0.9,0,0,0.19986741915255757
0,-0.9,0,0.9,0.1023792615193845
0,-0.9,0.9,-0.9,0.13326047608938507
0,-0.9,0.9,0,0.23074863372255813
0,-0.9,0.9,0.9,0.13326047608938507
0,0,-0.9,-0.9,6.40916194103266e-05
0,0,-0.9,0,0.00015148105398414877
0,0,-0.9,0.9,6.40916194103266e-05
0,0,0,-0.9,9.177387278083162e-05
0,0,0,0,0.00017916330735465378
0,0,0,0.9,9.177387278083162e-05
0,0,0.9,-0.9,0.00011945612615133663
0,0,0.9,0,0.0002068455607251588
0,0,0.9,0.9,0.00011945612615133663
0,0.9,-0.9,-0.9,0.07149804694938393
0,0.9,-0.9,0,0.168986204582557
0,0.9,-0.9,0.9,0.07149804694938393
0,0.9,0,-0.9,0.1023792615193845
0,0.9,0,0,0.19986741915255757
0,0.9,0,0.9,0.1023792615193845
0,0.9,0.9,-0.9,0.13326047608938507
0,0.9,0.9,0,0.23074863372255813
0,0.9,0.9,0.9,0.13326047608938507
0.9,-0.9,-0.9,-0.9,0.16932749481730638
0.9,-0.9,-0.9,0,0.4002068853839616
0.9,-0.9,-0.9,0.9,0.16932749481730638
0.9,-0.9,0,-0.9,0.2424629009320458
0.9,-0.9,0,0,0.47334229149870094
0.9,-0.9,0,0.9,0.2424629009320458
0.9,-0.9,0.9,-0.9,0.3155983070467852
0.9,-0.9,0.9,0,0.5464776976134403
0.9,-0.9,0.9,0.9,0.3155983070467852
0.9,0,-0.9,-0.9,0.023137074607127897
0.9,0,-0.9,0,0.054684660488277706
0.9,0,-0.9,0.9,0.023137074607127897
0.9,0,0,-0.9,0.03313036807388021
0.9,0,0,0,0.06467795395503001
0.9,0,0,0.9,0.03313036807388021
0.9,0,0.9,-0.9,0.04312366154063252
0.9,0,0.9,0,0.07467124742178231
0.9,0,0.9,0.9,0.04312366154063252
0.9,0.9,-0.9,-0.9,0.16932749481730638
0.9,0.9,-0.9,0,0.4002068853839616
0.9,0.9,-0.9,0.9,0.16932749481730638
0.9,0.9,0,-0.9,0.2424629009320458
0.9,0.9,0,0,0.47334229149870094
0.9,0.9,0,0.9,0.2424629009320458
0.9,0.9,0.9,-0.9,0.3155983070467852
0.9,0.9,0.9,0,0.5464776976134403
0.9,0.9,0.9,0.9,0.3155983070467852
